id,treatment,freshweight
1,control,38
2,control,34
3,control,41
4,control,43
5,control,43
6,control,29
7,control,38
8,compost,59
9,compost,64
10,compost,57
11,compost,56
12,compost,50
13,compost,64
14,compost,62
15,refoak,38
16,refoak,34
17,refoak,30
18,refoak,42
19,refoak,35
20,refoak,36
21,refoak,38
22,cobc,57
23,cobc,49
24,cobc,52
25,cobc,43
26,cobc,59
27,cobc,61
28,cobc,58
