trt,rel
placebo,54.99207606973059
placebo,31.84466019417476
placebo,41.09947643979057
placebo,59.52063914780293
placebo,63.573407202216075
placebo,41.48648648648649
placebo,30.44041450777202
placebo,42.95676429567643
placebo,41.7391304347826
placebo,33.896515311510036
transplant,57.218124341412015
transplant,72.50900360144058
transplant,61.89258312020461
transplant,56.690140845070424
transplant,76
transplant,71.7357910906298
transplant,57.757296466973884
transplant,65.1219512195122
transplant,67.53424657534246
transplant,77.55359394703657
